"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
"Thu Apr 02 20:42:13 +0000 2015",583731180060704800,"RT @basef: Westmount @HWDSB student Samna Aziz w/her biomedical award-winning project -  @MountainNews http://t.co/h5Q8uTgHE3 http://t.co/K…",,,,,,,,,,,null,null,null
"Thu Apr 02 20:42:13 +0000 2015",583731181230784500,"Science Teachers Needed at Noble Hall Leadership Academy for Girls http://t.co/pGODrCYt1U",,,,,,,,,,,null,null,null
"Thu Apr 02 20:42:14 +0000 2015",583731186628862000,"@OccuWorld Prez of ""Student for Science"" club told his mom, ""Don't you understand.If we don't back GMO we won't get research $$!""Paid to lie",,,,,,,,,,,null,null,null
